timestamp,close,high,low,trade_count,open,volume,vwap
2020-07-27 00:00:00-04:00,191.04,191.73,188.43,1035,189.43,88135,190.56
2020-07-28 00:00:00-04:00,190.9,193.32,190.9,1751,191.9,189788,192.08
2020-07-29 00:00:00-04:00,192.53,192.91,187.3,3264,187.3,348213,190.08
2020-07-30 00:00:00-04:00,188.12,190.6,186.37,2475,188.87,274752,188.18
2020-07-31 00:00:00-04:00,184.66,188.67,183.8,3491,188.64,1022030,184.82
2020-08-03 00:00:00-04:00,184.87,187.35,184.52,2645,185.84,695843,185.3
2020-08-04 00:00:00-04:00,186.51,187.12,184.4,2308,185.36,363772,186.0
2020-08-05 00:00:00-04:00,190.27,192.18,187.37,2953,187.62,286856,190.61
2020-08-06 00:00:00-04:00,192.91,192.94,188.98,2002,190.12,224763,190.66
2020-08-07 00:00:00-04:00,190.23,191.98,189.61,1306,191.83,115616,190.68
2020-08-10 00:00:00-04:00,190.89,192.16,189.48,1061,190.52,136022,190.65
2020-08-11 00:00:00-04:00,191.83,196.72,190.62,2709,191.65,248748,194.53
2020-08-12 00:00:00-04:00,192.76,194.22,192.36,1220,192.98,107035,193.13
2020-08-13 00:00:00-04:00,192.04,194.17,191.48,2450,192.25,551686,193.09
2020-08-14 00:00:00-04:00,190.86,192.39,190.22,848,191.54,70823,191.43
2020-08-17 00:00:00-04:00,193.8,194.68,191.41,1212,191.52,108563,193.8
2020-08-18 00:00:00-04:00,193.22,194.34,191.27,2296,194.33,298743,192.93
2020-08-19 00:00:00-04:00,195.06,196.98,193.24,2032,193.33,239625,195.05
2020-08-20 00:00:00-04:00,198.34,198.58,193.96,2414,193.96,239482,197.0
2020-08-21 00:00:00-04:00,198.3,199.28,197.63,1283,198.61,115256,198.57
2020-08-24 00:00:00-04:00,200.45,200.45,198.89,1586,199.17,158489,199.76
2020-08-25 00:00:00-04:00,202.19,202.21,199.69,1522,201.16,127003,201.22
2020-08-26 00:00:00-04:00,204.27,204.71,201.51,1440,202.28,144291,203.58
2020-08-27 00:00:00-04:00,204.95,206.07,203.2,2017,205.08,263920,204.82
2020-08-28 00:00:00-04:00,209.53,210.0,205.51,1816,205.83,166660,208.12
2020-08-31 00:00:00-04:00,206.01,209.76,205.57,1653,209.75,165867,206.99
2020-09-01 00:00:00-04:00,207.34,207.55,205.47,1823,206.07,175656,206.61
2020-09-02 00:00:00-04:00,210.48,211.01,207.69,1966,207.92,206396,209.37
2020-09-03 00:00:00-04:00,202.95,208.57,201.23,1875,208.57,165239,203.91
2020-09-04 00:00:00-04:00,198.8,204.47,194.53,1999,202.62,158764,198.51
2020-09-08 00:00:00-04:00,194.25,196.38,193.7,1582,195.41,131649,195.12
2020-09-09 00:00:00-04:00,198.27,200.37,196.3,3284,198.38,260642,199.07
2020-09-10 00:00:00-04:00,195.79,201.05,194.81,1386,199.09,120717,198.6
2020-09-11 00:00:00-04:00,194.96,196.51,193.36,1509,196.51,273383,194.64
2020-09-14 00:00:00-04:00,199.26,200.48,197.52,1808,197.64,278056,199.54
2020-09-15 00:00:00-04:00,199.72,202.24,198.96,1142,200.79,106569,200.49
2020-09-16 00:00:00-04:00,199.18,201.81,199.18,1299,200.69,141723,200.92
2020-09-17 00:00:00-04:00,199.47,199.7,196.44,1893,196.44,220598,198.03
2020-09-18 00:00:00-04:00,196.73,199.62,196.06,1570,199.12,127862,198.09
2020-09-21 00:00:00-04:00,191.79,195.34,189.31,2435,194.34,208948,191.01
2020-09-22 00:00:00-04:00,194.87,194.95,191.21,2555,192.43,253326,193.13
2020-09-23 00:00:00-04:00,189.81,195.14,189.03,1477,195.14,127683,192.5
2020-09-24 00:00:00-04:00,189.96,192.01,187.7,2157,189.24,187699,189.93
2020-09-25 00:00:00-04:00,191.62,192.47,188.1,1262,189.13,100460,190.84
2020-09-28 00:00:00-04:00,194.37,195.85,194.21,1088,194.87,120607,195.03
2020-09-29 00:00:00-04:00,193.79,196.6,193.75,2346,194.95,219756,195.04
2020-09-30 00:00:00-04:00,194.05,196.75,193.22,8048,195.0,708604,195.26
2020-10-01 00:00:00-04:00,197.65,199.31,195.97,3985,196.28,418036,197.78
2020-10-02 00:00:00-04:00,195.53,196.95,193.8,2202,193.83,218378,195.97
2020-10-05 00:00:00-04:00,197.83,197.84,195.34,2050,196.97,203037,196.64
2020-10-06 00:00:00-04:00,194.61,199.25,194.08,2706,198.18,245372,197.35
2020-10-07 00:00:00-04:00,196.81,196.99,194.29,3217,196.36,455439,195.66
2020-10-08 00:00:00-04:00,197.27,198.46,196.46,2266,197.79,206553,197.34
2020-10-09 00:00:00-04:00,200.73,201.13,197.9,3135,198.17,323169,199.8
2020-10-12 00:00:00-04:00,200.56,202.0,199.91,3301,200.75,307515,201.1
2020-10-13 00:00:00-04:00,198.43,199.29,197.28,3012,197.58,285437,198.64
2020-10-14 00:00:00-04:00,196.32,199.06,195.44,3474,198.93,274229,196.84
2020-10-15 00:00:00-04:00,193.81,196.08,191.99,4123,194.84,442301,193.99
2020-10-16 00:00:00-04:00,194.59,196.85,193.9,3732,193.91,342249,195.2
2020-10-19 00:00:00-04:00,191.12,195.34,190.9,3095,195.34,377727,192.53
