timestamp,close,high,low,trade_count,open,volume,vwap
2020-07-27 00:00:00-04:00,86.63,87.28,86.07,1451,87.08,126459,86.58
2020-07-28 00:00:00-04:00,87.07,87.5,86.31,1749,86.31,242005,86.97
2020-07-29 00:00:00-04:00,89.12,89.12,86.76,2542,86.79,283613,88.04
2020-07-30 00:00:00-04:00,86.66,87.35,85.89,2632,87.15,375595,86.48
2020-07-31 00:00:00-04:00,86.28,86.66,85.16,1736,86.21,188507,85.68
2020-08-03 00:00:00-04:00,85.91,87.21,85.73,1406,86.76,151348,86.56
2020-08-04 00:00:00-04:00,85.44,85.77,84.98,1956,85.72,238928,85.23
2020-08-05 00:00:00-04:00,87.0,88.01,85.73,1994,85.73,193465,87.14
2020-08-06 00:00:00-04:00,86.92,87.68,86.32,1391,87.09,142143,86.93
2020-08-07 00:00:00-04:00,88.89,88.94,86.32,3048,86.61,437737,87.86
2020-08-10 00:00:00-04:00,89.95,91.22,89.44,1922,89.54,213557,90.27
2020-08-11 00:00:00-04:00,92.73,94.89,92.55,4791,92.79,637857,93.95
2020-08-12 00:00:00-04:00,92.02,94.92,90.94,2823,94.86,344229,92.99
2020-08-13 00:00:00-04:00,91.54,92.36,90.9,2659,91.03,382547,91.51
2020-08-14 00:00:00-04:00,91.54,92.36,90.71,1864,90.71,321727,91.57
2020-08-17 00:00:00-04:00,89.1,91.16,89.01,1682,91.15,259967,90.05
2020-08-18 00:00:00-04:00,87.87,89.22,87.72,2322,89.11,198286,88.2
2020-08-19 00:00:00-04:00,88.08,89.9,87.95,1547,88.44,246221,88.74
2020-08-20 00:00:00-04:00,87.1,87.63,86.59,1574,86.97,254451,87.16
2020-08-21 00:00:00-04:00,87.07,88.09,86.71,2343,86.82,235965,87.06
2020-08-24 00:00:00-04:00,89.42,89.55,87.12,2403,87.99,281246,88.58
2020-08-25 00:00:00-04:00,89.86,91.15,89.24,2169,90.56,272356,89.74
2020-08-26 00:00:00-04:00,88.6,89.62,88.6,1543,89.38,132542,89.07
2020-08-27 00:00:00-04:00,91.51,91.75,88.57,2788,88.59,463351,91.09
2020-08-28 00:00:00-04:00,91.94,92.29,91.04,1459,92.14,142386,91.66
2020-08-31 00:00:00-04:00,89.55,91.3,89.45,1724,91.3,220620,90.09
2020-09-01 00:00:00-04:00,89.57,90.16,88.6,1982,89.04,212686,89.29
2020-09-02 00:00:00-04:00,90.88,91.13,89.04,1583,89.25,154800,90.1
2020-09-03 00:00:00-04:00,90.58,93.83,90.0,2077,92.42,250201,92.26
2020-09-04 00:00:00-04:00,92.61,93.97,90.66,3193,93.21,807365,92.32
2020-09-08 00:00:00-04:00,89.31,92.5,88.94,2588,92.04,245670,89.95
2020-09-09 00:00:00-04:00,90.23,90.91,89.02,1830,90.02,177142,90.22
2020-09-10 00:00:00-04:00,89.37,91.55,89.1,1890,90.5,220851,90.31
2020-09-11 00:00:00-04:00,90.36,90.61,89.07,1388,89.32,151048,89.82
2020-09-14 00:00:00-04:00,91.72,92.42,90.64,1914,90.82,184741,91.69
2020-09-15 00:00:00-04:00,88.81,91.93,88.66,3389,91.88,441165,89.81
2020-09-16 00:00:00-04:00,89.18,90.4,88.32,3305,88.94,329334,89.77
2020-09-17 00:00:00-04:00,88.12,88.68,87.36,3260,87.93,288757,87.88
2020-09-18 00:00:00-04:00,87.92,88.92,87.18,3771,87.86,308903,88.05
2020-09-21 00:00:00-04:00,85.22,85.77,83.9,2932,85.14,264524,84.65
2020-09-22 00:00:00-04:00,84.29,85.51,83.75,3118,84.93,288811,84.14
2020-09-23 00:00:00-04:00,82.9,85.22,82.85,2093,84.65,210733,83.96
2020-09-24 00:00:00-04:00,82.83,84.26,81.75,3588,82.57,338450,82.79
2020-09-25 00:00:00-04:00,83.59,83.78,82.15,1980,82.3,151278,82.78
2020-09-28 00:00:00-04:00,85.82,86.64,84.42,5104,84.97,749174,85.81
2020-09-29 00:00:00-04:00,85.24,85.77,84.34,1821,85.47,180283,85.07
2020-09-30 00:00:00-04:00,86.19,86.89,85.22,2219,85.25,202374,86.21
